# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    atlas_exot_2016_27            EM1                                                         64.3969609     65.3771902      ||    0.0019543      0.0001135      
defaultset                    atlas_exot_2016_27            EM2                                                         9.6264923      14.5754463      ||    0.0016619      0.0001047      
defaultset                    atlas_exot_2016_27            EM3                                                         84.2164850     137.8502828     ||    0.0006138      0.0000636      
defaultset                    atlas_exot_2016_27            EM4                                                         41.5245028     46.4627201      ||    0.0008227      0.0000737      
defaultset                    atlas_exot_2016_27            EM5                                                         26.7609200     37.8251091      ||    0.0004283      0.0000532      
defaultset                    atlas_exot_2016_27            EM6                                                         33.4920394     55.9706519      ||    0.0001534      0.0000318      
defaultset                    atlas_exot_2016_27            EM7                                                         74.3343281     104.7847932     ||    0.0000345      0.0000151      
defaultset                    atlas_exot_2016_27            EM8                                                         103.6227386    178.5241792     ||    0.0000154      0.0000101      
defaultset                    atlas_exot_2016_27            EM9                                                         111.2177464    136.2391397     ||    0.0000087      0.0000076      
defaultset                    atlas_exot_2016_27            IM1                                                         55.0738816     93.7388874      ||    0.0057060      0.0001935      
defaultset                    atlas_exot_2016_27            IM2                                                         49.5011668     88.0549564      ||    0.0037517      0.0001571      
defaultset                    atlas_exot_2016_27            IM3                                                         49.4701418     92.5510138      ||    0.0020898      0.0001173      
defaultset                    atlas_exot_2016_27            IM4                                                         37.6385534     62.2502310      ||    0.0014760      0.0000986      
defaultset                    atlas_exot_2016_27            IM5                                                         29.7623098     65.6904433      ||    0.0006533      0.0000657      
defaultset                    atlas_exot_2016_27            IM6                                                         42.0402304     86.8335054      ||    0.0002251      0.0000385      
defaultset                    atlas_exot_2016_27            IM7                                                         76.2151380     107.7712547     ||    0.0000717      0.0000218      
defaultset                    atlas_exot_2016_27            IM8                                                         91.8578772     134.6831513     ||    0.0000372      0.0000157      
defaultset                    atlas_exot_2016_27            IM9                                                         101.2427448    104.9477957     ||    0.0000218      0.0000120      
defaultset                    atlas_exot_2016_27            IM10                                                        117.0826316    127.0476908     ||    0.0000131      0.0000093      

